speaker1,path1,speaker2,path2,label
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0012.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0002.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0002.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0010.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0010.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0015.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0015.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0009.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0009.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0018.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0018.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0004.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0004.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0001.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0001.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0017.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0017.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0014.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0014.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0007.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0007.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0016.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0016.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0008.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0008.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0003.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0003.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0013.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0013.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0000.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0000.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0005.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0005.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0006.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0006.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0019.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0019.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0011.flac,True
174,audio-dev-clean/LibriSpeech/dev-clean/174/50561/174-50561-0011.flac,174,audio-dev-clean/LibriSpeech/dev-clean/174/168635/174-168635-0012.flac,True
